dataset_key,delay_order,theta,best_K,best_tau,best_sse
sine,2,10.0,0.75,160.0,1827.3219980642132
sine,2,15.0,0.75,156.66666666666669,934.8912425180897
sine,2,20.0,0.75,156.66666666666669,1009.379784370497
sine,2,25.0,0.75,153.33333333333334,1982.8342416345454
sine,2,30.0,0.75,150.0,3755.0068133089435
sine,3,10.0,0.75,163.33333333333334,1815.3161860438115
sine,3,15.0,0.75,160.0,911.8854822724825
sine,3,20.0,0.75,156.66666666666669,1006.1650585188279
sine,3,25.0,0.75,153.33333333333334,2069.445511404472
sine,3,30.0,0.75,150.0,4043.5596626941406
step,2,10.0,0.8125,186.66666666666669,758.4829860315655
step,2,15.0,0.8125,186.66666666666669,758.4829860315655
step,2,20.0,0.8125,186.66666666666669,758.4829860315655
step,2,25.0,0.8125,186.66666666666669,758.4829860315655
step,2,30.0,0.8125,186.66666666666669,758.4829860315655
step,3,10.0,0.8125,186.66666666666669,758.4829860315655
step,3,15.0,0.8125,186.66666666666669,758.4829860315655
step,3,20.0,0.8125,186.66666666666669,758.4829860315655
step,3,25.0,0.8125,186.66666666666669,758.4829860315655
step,3,30.0,0.8125,186.66666666666669,758.4829860315655
